probe    C8 Avg	Control Avg
1766946_s_at	2.28806	2.33991
1764715_s_at	2.85686	2.82333
1760575_s_at	2.57493	2.61059
1760651_s_at	2.36456	2.36845
1761134_s_at	2.44014	2.44531
1760839_s_at	5.94162	6.32829
1769142_at	3.99753	4.25044
1767419_s_at	2.39732	2.40013
1760852_s_at	3.09968	3.22527
1762566_s_at	2.85877	3.01181
1766943_s_at	2.48608	2.48924
1760893_s_at	3.44735	3.08459
1760902_s_at	2.39988	2.40176
1764667_s_at	2.34054	2.34212
1768099_s_at	2.46568	2.56024
1767959_s_at	2.42205	2.44513
1768735_s_at	2.31768	2.32629
1763754_at	2.37688	2.37896
1763434_s_at	4.44910	4.58514
1768953_s_at	2.40041	2.39327
1762213_s_at	2.43662	2.52861
1767595_at	2.35728	2.37115
1768443_s_at	5.82759	5.65463
1763209_s_at	3.76379	3.94352
1767070_s_at	2.36345	2.36697
1761402_s_at	4.65459	5.00723
1760172_s_at	2.28988	2.31721
1766215_s_at	4.00558	4.24864
1761469_s_at	3.23217	2.75851
1762477_s_at	2.33021	2.35559
1759539_at	2.42000	2.44330
1759317_at	2.33838	2.34143
1768494_s_at	5.76762	6.08804
1759310_at	2.37286	2.37156
1768778_s_at	2.85297	3.09020
1765006_at	2.70939	2.50332
1767554_s_at	2.34334	2.35046
1762713_s_at	2.49405	2.60043
1760882_s_at	2.41934	2.34334
1769271_at	2.32459	2.33125
1766219_s_at	2.39138	2.53102
1762914_at	2.33568	2.36563
1760270_s_at	2.53778	2.67149
1760991_s_at	2.59539	2.74579
1768517_s_at	2.41391	2.42282
1762944_s_at	2.39736	2.39526
1762219_s_at	2.93447	2.94474
1768219_s_at	2.43161	2.43774
1763986_s_at	2.39912	2.52877
1763680_s_at	5.28332	5.54719
1765146_x_at	2.30361	2.30208
1761812_s_at	2.41982	2.44707
1766059_s_at	2.67570	2.74817
1759353_at	2.32716	2.33606
1759088_s_at	2.52036	2.51141
1768729_s_at	2.40630	2.45371
1765239_s_at	2.90876	2.68168
1760323_s_at	4.30814	4.35123
